vdd,delay,dp,sp
1.300000e+00,1.787764e-10,4.787475e-04,8.471545e-06
1.250000e+00,1.839943e-10,4.238426e-04,6.145029e-06
1.200000e+00,1.899080e-10,3.734667e-04,4.499192e-06
1.150000e+00,1.966485e-10,3.272099e-04,3.318799e-06
1.100000e+00,2.044214e-10,2.847764e-04,2.465273e-06
1.000000e+00,2.241630e-10,2.104007e-04,1.385974e-06
9.000000e-01,2.524760e-10,1.488873e-04,7.926353e-07
8.000000e-01,2.961167e-10,9.912251e-05,4.557754e-07
7.500000e-01,3.278536e-10,7.834551e-05,3.450631e-07
7.000000e-01,3.706232e-10,6.015897e-05,2.604923e-07
6.500000e-01,4.310620e-10,4.446881e-05,1.958286e-07
6.000000e-01,5.219456e-10,3.121450e-05,1.464142e-07
5.500000e-01,6.700012e-10,2.038097e-05,1.087256e-07
5.000000e-01,9.371852e-10,1.200462e-05,8.006935e-08
4.500000e-01,1.484031e-09,6.124125e-06,5.837078e-08
4.000000e-01,2.767069e-09,2.599838e-06,4.202764e-08
3.500000e-01,6.141198e-09,9.095361e-07,2.979653e-08
3.000000e-01,1.567468e-08,2.732252e-07,2.069868e-08
