vdd,delay,dp,sp
1.100000e+00,7.386721e-12,2.003489e-04,6.365148e-08
1.000000e+00,7.890471e-12,1.500265e-04,2.938030e-08
9.000000e-01,8.601458e-12,1.068163e-04,1.412959e-08
8.000000e-01,9.729622e-12,7.064256e-05,7.007193e-09
7.500000e-01,1.060473e-11,5.521692e-05,4.966577e-09
7.000000e-01,1.186662e-11,4.160195e-05,3.524695e-09
6.500000e-01,1.380457e-11,2.982874e-05,2.498941e-09
6.000000e-01,1.701489e-11,1.995290e-05,1.766128e-09
5.500000e-01,2.283022e-11,1.208912e-05,1.241732e-09
5.000000e-01,3.471162e-11,6.369027e-06,8.668399e-10
4.500000e-01,6.235666e-11,2.788594e-06,5.998588e-10
4.000000e-01,1.350866e-10,9.879058e-07,4.105561e-10
3.500000e-01,3.421454e-10,2.898980e-07,2.768077e-10
3.000000e-01,9.625295e-10,7.361923e-08,1.828962e-10
