vdd,delay,dp,sp
1.100000e+00,8.358770e-11,9.487722e-05,6.126829e-08
1.000000e+00,9.711023e-11,6.526068e-05,2.785555e-08
9.000000e-01,1.176115e-10,4.275285e-05,1.351187e-08
8.000000e-01,1.521873e-10,2.576269e-05,6.927758e-09
7.500000e-01,1.800690e-10,1.902722e-05,5.047816e-09
7.000000e-01,2.217676e-10,1.338060e-05,3.710511e-09
6.500000e-01,2.892153e-10,8.794221e-06,2.743723e-09
6.000000e-01,4.097363e-10,5.260211e-06,2.034308e-09
5.500000e-01,6.525948e-10,2.765342e-06,1.507452e-09
5.000000e-01,1.208984e-09,1.234825e-06,1.113331e-09
4.500000e-01,2.635006e-09,4.623293e-07,8.172101e-10
4.000000e-01,6.588316e-09,1.480056e-07,5.936810e-10
3.500000e-01,1.812869e-08,4.198144e-08,4.249514e-10
3.000000e-01,5.301182e-08,1.089558e-08,2.981334e-10
