vdd,delay,dp,sp
1.200000e+00,4.347340e-10,4.651918e-05,9.401432e-08
1.150000e+00,4.853764e-10,3.821589e-05,6.815529e-08
1.100000e+00,5.498115e-10,3.083022e-05,4.906979e-08
1.000000e+00,7.526113e-10,1.856394e-05,2.399220e-08
9.000000e-01,1.195424e-09,9.421954e-06,1.023585e-08
8.000000e-01,2.585957e-09,3.411945e-06,3.193266e-09
7.500000e-01,4.673622e-09,1.651106e-06,1.344299e-09
7.000000e-01,1.012029e-08,6.622143e-07,4.561624e-10
6.500000e-01,2.582669e-08,2.235576e-07,2.000143e-10
6.000000e-01,7.410560e-08,6.646050e-08,1.285423e-10
5.500000e-01,2.311322e-07,1.797390e-08,9.256030e-11
5.000000e-01,7.716037e-07,4.496221e-09,6.734462e-11
4.500000e-01,2.711914e-06,1.067625e-09,4.840952e-11
4.000000e-01,9.841772e-06,2.544808e-10,3.410297e-11
3.500000e-01,3.624963e-05,6.809723e-11,2.334684e-11
3.000000e-01,1.337747e-04,2.360326e-11,1.530347e-11
