vdd,delay,dp,sp
1.100000e+00,1.835443e-11,2.774842e-05,4.498307e-09
1.000000e+00,2.344945e-11,1.686547e-05,2.189301e-09
9.000000e-01,3.501818e-11,8.570256e-06,9.272554e-10
8.000000e-01,7.145498e-11,3.060961e-06,2.885989e-10
7.500000e-01,1.257771e-10,1.458444e-06,1.208861e-10
7.000000e-01,2.676176e-10,5.720592e-07,3.770301e-11
6.500000e-01,6.780234e-10,1.883970e-07,1.373107e-11
6.000000e-01,1.939347e-09,5.467912e-08,7.990692e-12
5.500000e-01,6.033058e-09,1.448038e-08,5.537204e-12
5.000000e-01,2.007419e-08,3.536092e-09,3.909683e-12
4.500000e-01,7.031353e-08,8.039316e-10,2.714800e-12
4.000000e-01,2.532308e-07,1.720581e-10,1.832119e-12
3.500000e-01,9.542790e-07,3.488078e-11,1.186250e-12
3.000000e-01,3.936995e-06,6.653038e-12,7.175828e-13
