vdd,delay,dp,sp
1.100000e+00,1.939636e-09,4.638973e-05,1.460604e-09
1.000000e+00,2.423314e-09,3.019883e-05,7.586671e-10
9.000000e-01,3.312743e-09,1.755759e-05,3.860852e-10
8.000000e-01,5.313698e-09,8.459385e-06,1.935321e-10
7.500000e-01,7.440260e-09,5.248978e-06,1.369429e-10
7.000000e-01,1.152246e-08,2.921975e-06,9.739262e-11
6.500000e-01,2.031981e-08,1.419557e-06,7.033710e-11
6.000000e-01,4.153412e-08,5.921282e-07,5.309022e-11
5.500000e-01,9.744379e-08,2.137964e-07,4.279214e-11
5.000000e-01,2.547095e-07,6.841245e-08,3.566620e-11
4.500000e-01,7.225408e-07,1.983588e-08,2.971985e-11
4.000000e-01,2.180848e-06,5.301690e-09,2.449270e-11
3.500000e-01,6.849091e-06,1.335689e-09,1.986977e-11
3.000000e-01,2.183172e-05,3.273179e-10,1.578732e-11
