vdd,delay,dp,sp
1.100000e+00,1.620472e-11,3.090869e-05,9.994677e-07
1.050000e+00,1.646795e-11,2.696012e-05,4.916015e-08
1.000000e+00,1.676605e-11,2.331882e-05,9.672262e-09
9.500000e-01,1.710915e-11,1.998561e-05,7.182907e-09
9.000000e-01,1.751570e-11,1.695339e-05,6.029117e-09
8.500000e-01,1.800984e-11,1.422715e-05,5.062423e-09
8.000000e-01,1.861563e-11,1.179073e-05,4.229367e-09
7.500000e-01,1.937381e-11,9.650671e-06,3.513125e-09
7.000000e-01,2.034193e-11,7.787228e-06,2.899607e-09
6.500000e-01,2.160652e-11,6.188328e-06,2.376217e-09
6.000000e-01,2.327456e-11,4.839380e-06,1.931681e-09
5.500000e-01,2.548351e-11,3.716619e-06,1.555929e-09
5.000000e-01,2.844846e-11,2.795900e-06,1.239984e-09
4.500000e-01,3.240655e-11,2.038665e-06,9.758578e-10
4.000000e-01,3.770122e-11,1.423318e-06,7.564614e-10
3.500000e-01,4.473863e-11,9.233700e-07,5.755233e-10
3.000000e-01,5.453930e-11,5.248159e-07,4.275178e-10
2.500000e-01,7.718473e-11,2.305780e-07,3.076042e-10
2.000000e-01,1.588429e-10,6.407498e-08,2.115686e-10
