vdd,delay,dp,sp
1.100000e+00,2.034693e-10,1.687080e-04,3.372504e-06
1.050000e+00,2.070571e-10,1.461202e-04,2.740674e-06
1.000000e+00,2.114199e-10,1.258112e-04,2.295584e-06
9.500000e-01,2.167330e-10,1.075029e-04,1.919312e-06
9.000000e-01,2.232133e-10,9.105350e-05,1.598495e-06
8.500000e-01,2.311445e-10,7.632284e-05,1.325513e-06
8.000000e-01,2.409256e-10,6.316905e-05,1.093877e-06
7.500000e-01,2.531479e-10,5.145606e-05,8.979220e-07
7.000000e-01,2.686793e-10,4.110257e-05,7.326968e-07
6.500000e-01,2.888723e-10,3.206737e-05,5.938816e-07
6.000000e-01,3.159244e-10,2.434834e-05,4.777116e-07
5.500000e-01,3.536750e-10,1.788432e-05,3.809108e-07
5.000000e-01,4.092461e-10,1.255888e-05,3.006330e-07
4.500000e-01,4.973421e-10,8.269543e-06,2.344098e-07
4.000000e-01,6.526953e-10,4.942822e-06,1.801050e-07
3.500000e-01,9.743807e-10,2.538053e-06,1.358750e-07
3.000000e-01,1.813196e-09,1.035937e-06,1.001355e-07
2.500000e-01,4.613893e-09,3.233967e-07,7.153677e-08
2.000000e-01,1.505278e-08,9.588910e-08,4.894779e-08
