vdd,delay,dp,sp
1.100000e+00,1.631555e-11,1.402390e-05,2.747005e-10
1.050000e+00,1.724772e-11,1.196234e-05,2.080110e-10
1.000000e+00,1.843390e-11,1.016393e-05,1.564845e-10
9.500000e-01,1.992725e-11,8.604650e-06,1.154556e-10
9.000000e-01,2.178672e-11,7.248229e-06,8.322514e-11
8.500000e-01,2.406439e-11,6.076662e-06,5.837571e-11
8.000000e-01,2.676977e-11,5.060533e-06,3.965420e-11
7.500000e-01,2.991988e-11,4.180320e-06,2.595019e-11
7.000000e-01,3.361700e-11,3.407758e-06,1.627952e-11
6.500000e-01,3.795667e-11,2.709116e-06,9.770209e-12
6.000000e-01,4.298135e-11,2.075226e-06,5.651048e-12
5.500000e-01,4.898911e-11,1.504018e-06,3.244646e-12
5.000000e-01,5.728421e-11,9.771408e-07,1.967714e-12
4.500000e-01,7.634592e-11,5.087208e-07,1.340649e-12
4.000000e-01,1.419486e-10,1.737073e-07,1.008397e-12
3.500000e-01,4.533611e-10,3.700766e-08,7.751310e-13
3.000000e-01,2.056364e-09,6.152581e-09,5.838513e-13
2.500000e-01,1.023160e-08,9.321810e-10,4.250010e-13
2.000000e-01,5.100565e-08,1.326058e-10,2.947022e-13
