vdd,delay,dp,sp
1.100000e+00,9.295709e-10,4.037175e-04,1.058084e-08
1.050000e+00,9.730913e-10,6.283019e-05,7.186042e-09
1.000000e+00,1.025361e-09,4.403086e-05,5.727314e-09
9.500000e-01,1.089057e-09,3.651869e-05,4.569100e-09
9.000000e-01,1.168015e-09,3.005530e-05,3.623039e-09
8.500000e-01,1.267991e-09,2.431753e-05,2.855894e-09
8.000000e-01,1.397871e-09,1.925641e-05,2.239763e-09
7.500000e-01,1.572495e-09,1.483151e-05,1.750019e-09
7.000000e-01,1.818025e-09,1.100934e-05,1.364882e-09
6.500000e-01,2.184303e-09,7.770747e-06,1.065104e-09
6.000000e-01,2.776093e-09,5.110674e-06,8.336743e-10
5.500000e-01,3.845462e-09,3.031690e-06,6.556012e-10
5.000000e-01,6.118363e-09,1.535343e-06,5.177895e-10
4.500000e-01,1.223612e-08,6.042085e-07,4.090955e-10
4.000000e-01,3.443696e-08,1.635265e-07,3.207065e-10
3.500000e-01,1.354196e-07,3.056589e-08,2.467687e-10
3.000000e-01,6.191937e-07,4.852957e-09,1.845036e-10
2.500000e-01,2.875658e-06,8.156034e-10,1.317052e-10
2.000000e-01,1.288850e-05,1.830470e-10,8.900076e-11
