name,index,scan,sort-join,other
tpc-h-2,0.431,0.069,0.000,0.500
tpc-h-3,0.181,0.264,0.000,0.556
tpc-h-5,0.292,0.111,0.264,0.333
tpc-h-7,0.306,0.167,0.056,0.472
tpc-h-8,0.292,0.181,0.389,0.139
tpc-h-9,0.444,0.097,0.000,0.458
tpc-h-11,0.528,0.028,0.000,0.444
tpc-h-13,0.236,0.056,0.000,0.708
tpc-h-14,0.375,0.264,0.000,0.361
tpc-h-15,0.181,0.097,0.000,0.722
tpc-h-17,0.944,0.000,0.000,0.056
tpc-h-18,0.139,0.111,0.125,0.625
tpc-h-19,0.264,0.014,0.000,0.722
tpc-h-20,0.306,0.417,0.000,0.278
tpc-h-21,0.139,0.222,0.000,0.639
tpc-h-22,0.472,0.000,0.000,0.528
tpc-ds-5,0.500,0.028,0.000,0.472
tpc-ds-37,0.292,0.611,0.000,0.097
tpc-ds-40,0.222,0.056,0.000,0.722
tpc-ds-43,0.278,0.125,0.000,0.597
tpc-ds-46,0.514,0.097,0.000,0.389
tpc-ds-52,0.764,0.069,0.000,0.167
tpc-ds-64,0.583,0.014,0.000,0.403
tpc-ds-81,0.500,0.000,0.000,0.500
tpc-ds-82,0.417,0.500,0.000,0.083
